feature,coefficient
than,2.435381463214213
since,2.4197250221397195
percent,2.1735267382460357
countries,1.963775025359897
day,1.9518238333427915
more,1.8555855562929267
georgia,1.7955678085047717
of,1.6869443401249151
average,1.685625847803418
million,1.6689762390808263
debt,1.5961385793957954
still,1.5734251089785167
times,1.5438513930498567
and,1.4587524011269954
fakenews,1.4004743305515117
cut,1.3961016207509196
propaganda,1.3897189189677075
more than,1.290780837070736
months,1.2895199213848558
he,1.277553912566026
three,1.2687453781452647
up to,1.2077460866107603
american,1.2027831082975462
to do,1.1403455700426912
in,1.102726716429049
college,1.101462125703049
lobbyists,1.0894351840569056
put,1.0838786188526472
top,1.0761090179744204
among,1.0758812302121838
while the,1.0741607075862696
weve,1.0633531902420599
of the,1.059452225475015
every day,1.0527042579419346
says scott,1.0513171941290456
the country,1.0501596046771977
money from,1.0332726126124725
shutdown,1.0322712575616646
spending,1.0240987065566638
percent of,1.0072010726174605
back,1.005117896061482
dollar,1.0045040346243879
twenty,0.9972230615839587
worth,0.9908073192832422
georgias,0.986774873821994
called,0.9854387374417729
ohio,0.971610390502116
lower,0.9707867396123613
workers,0.952212375615175
corporations,0.9520880708321631
